metric	value
aligned_qc_reads	159538918
mtdna_reads	8633006
mtdna_fraction	0.0541
rdna_reads	0
rdna_fraction	0.0000
requested_pairs	8100000
informative_pairs	3016793
inferred_strandness	unstranded_or_mixed
fr_fraction	0.4812
rf_fraction	0.5188
other_fraction	0.0000
pending_evictions	0
inner_distance_mean	4.5863
inner_distance_median	-94.0000
