metric	value
aligned_qc_reads	159538918
mtdna_reads	8633006
mtdna_fraction	0.0541
rdna_reads	0
rdna_fraction	0.0000
requested_pairs	9250000
informative_pairs	3191998
inferred_strandness	RF
fr_fraction	0.0133
rf_fraction	0.9867
other_fraction	0.0000
pending_evictions	1411084
inner_distance_mean	-107.3937
inner_distance_median	-117.0000
