metric	value
aligned_qc_reads	363404
mtdna_reads	0
mtdna_fraction	0.0000
rdna_reads	0
rdna_fraction	0.0000
requested_pairs	1000000
informative_pairs	71968
inferred_strandness	RF (stranded-reverse)
geometric_fr_fraction	0.0030
geometric_rf_fraction	0.9970
other_orientation_fraction	0.0000
pending_evictions	0
inner_distance_mean	-106.7707
inner_distance_median	-119.0000
stranded_forward_count	215
stranded_reverse_count	71753
